Red,Green,Blue,Material,Surface Style / Thickness,Object Color,Specific Data
70,75,80,Aluminum Alloy,"Matte / 3mm","Gunmetal Grey","F-16 Fighting Falcon"
90,95,100,Composite,"Matte / 3mm","Steel Grey","F/A-18 Hornet"
110,120,130,Aluminum Alloy,"Matte / 3mm","Light Grey","MiG-29 Fulcrum"
115,110,105,Aluminum Alloy,"Matte / 4mm","Earth Brown","Su-27 Flanker"
105,110,115,Composite,"Matte / 3mm","Slate Grey","Dassault Mirage 2000"
120,130,140,Composite,"Matte / 3mm","Steel Blue","Eurofighter Typhoon"
95,85,80,Aluminum Alloy,"Matte / 2mm","Bronze Grey","Saab JAS 39 Gripen"
100,105,110,Composite,"Matte / 3mm","Steel Grey","Su-30MKI"
90,95,90,Aluminum Alloy,"Matte / 3mm","Olive Drab","MiG-35"
115,120,125,Composite,"Matte / 3mm","Light Steel Blue","F-15 Eagle"
110,115,120,Aluminum Alloy,"Matte / 3mm","Gunmetal Blue","MiG-21 (later versions)"
95,100,105,Composite,"Matte / 3mm","Dark Grey","Su-34 Fullback"
100,110,115,Aluminum Alloy,"Matte / 3mm","Dusty Grey","F-14 Tomcat"
105,100,95,Aluminum Alloy,"Matte / 3mm","Earth Brown","JF-17 Thunder"
90,90,90,Composite,"Matte / 4mm","Graphite Grey","Dassault Rafale"
85,90,85,Aluminum Alloy,"Matte / 3mm","Gunmetal Grey","KAI T-50"
120,130,140,Composite,"Matte / 3mm","Steel Blue","Su-35"
110,115,110,Aluminum Alloy,"Matte / 3mm","Light Olive","F-5 Freedom Fighter"
115,120,125,Composite,"Matte / 3mm","Steel Grey","J-10"
100,105,110,Aluminum Alloy,"Matte / 3mm","Dusty Grey","MiG-23"
